name,website,X,Facebook
"Landsman, Greg",https://landsman.house.gov,https://twitter.com/repgreglandsman,https://www.facebook.com/RepGregLandsman
"Larson, John",https://larson.house.gov/,,http://www.facebook.com/RepJohnLarson/
"Larsen, Rick",https://larsen.house.gov,,https://www.facebook.com/RepRickLarsen
"Latimer, George",https://latimer.house.gov/,https://twitter.com/RepGLatimer,https://facebook.com/profile.php?id=61571201977917
"Latta, Robert",https://latta.house.gov/,https://twitter.com/boblatta,https://www.facebook.com/boblatta/
"LaMalfa, Doug",https://lamalfa.house.gov,,
"Lawler, Michael",https://lawler.house.gov,https://twitter.com/RepMikeLawler,https://facebook.com/RepMikeLawler
"Lee, Laurel",https://laurellee.house.gov,https://twitter.com/RepLaurelLee,https://www.facebook.com/RepLaurelLee/
"Lee, Summer",https://summerlee.house.gov,https://twitter.com/RepSummerLee,https://www.facebook.com/RepSummerLee/
"Levin, Mike",https://levin.house.gov/,//twitter.com/RepMikeLevin,https://www.facebook.com/RepMikeLevin
"Langworthy, Nicholas",https://langworthy.house.gov,https://twitter.com/RepLangworthy,https://www.facebook.com/RepLangworthy/
"Leger Fernandez, Teresa",https://fernandez.house.gov,https://x.com/RepTeresaLF,https://www.facebook.com/RepTeresaLF/
"Lee, Susie",https://susielee.house.gov,,http://www.facebook.com/RepSusieLee
"Liccardo, Sam",https://liccardo.house.gov/,https://x.com/repliccardo,//liccardo.house.gov/facebook.com/repliccardo
"Lieu, Ted",https://lieu.house.gov/,,http://www.facebook.com/RepTedLieu
"Letlow, Julia",https://letlow.house.gov,https://twitter.com/repjulialetlow,https://www.facebook.com/repjulialetlow
"Lucas, Frank",https://lucas.house.gov,https://twitter.com/repfranklucas,https://www.facebook.com/RepFrankLucas
"Loudermilk, Barry",https://loudermilk.house.gov,https://x.com/reploudermilk,https://www.facebook.com/RepLoudermilk/
"Lofgren, Zoe",https://lofgren.house.gov/,,https://www.facebook.com/zoelofgren
"Lynch, Stephen",https://lynch.house.gov/,https://twitter.com/RepStephenLynch,https://www.facebook.com/repstephenlynch
"Luttrell, Morgan",https://luttrell.house.gov,https://mobile.twitter.com/RepLuttrell,https://www.facebook.com/profile.php?id=100089328790942
"Luna, Anna Paulina",https://luna.house.gov,https://x.com/RepLuna,
"Mace, Nancy",https://mace.house.gov,https://twitter.com/RepNancyMace,https://www.facebook.com/RepNancyMace
"Malliotakis, Nicole",https://malliotakis.house.gov,https://twitter.com/RepNicole?ref_src=twsrc%5Etfw,https://www.facebook.com/RepNicole
"Magaziner, Seth",https://magaziner.house.gov,https://twitter.com/Rep_Magaziner,https://www.facebook.com/repsethmagaziner
"Mackenzie, Ryan",https://mackenzie.house.gov/,https://twitter.com/RepMackenzie/,https://www.facebook.com/repmackenzie
"Maloy, Celeste",https://maloy.house.gov,https://x.com/RepMaloyUtah,https://www.facebook.com/profile.php?id=61555755717517
"Massie, Thomas",https://massie.house.gov,https://twitter.com/RepThomasMassie,https://www.facebook.com/RepThomasMassie
"Mast, Brian",https://mast.house.gov,https://www.twitter.com/RepBrianMast,https://www.facebook.com/RepBrianMast
"Mann, Tracey",https://mann.house.gov,,https://www.facebook.com/Congressman-Tracey-Mann-105522931489227
"Mannion, John",https://mannion.house.gov/,https://twitter.com/JohnMannionNY22,https://www.facebook.com/CongressmanJohnMannion
"Matsui, Doris",https://matsui.house.gov,https://twitter.com/dorismatsui,https://www.facebook.com/doris.matsui
"McBath, Lucy",https://mcbath.house.gov,https://twitter.com/RepLucyMcBath,https://www.facebook.com/RepLucyMcBath
"McBride, Sarah",https://mcbride.house.gov/,https://www.dropbox.com/scl/fi/ujawxgs2ghwdvfagczoi2/Rep.-Sarah-McBride-Year-One-FINAL-VERSION.pdf?rlkey=5dnwexw24t3d74rbae2y7tx9i&e=2&st=bsyv87se&dl=0,https://www.facebook.com/CongresswomanSarahMcBride/
"McCaul, Michael",https://mccaul.house.gov,https://twitter.com/RepMcCaul,https://www.facebook.com/michaeltmccaul
"McClain Delaney, April",https://mcclaindelaney.house.gov/,https://x.com/RepAprilDelaney,https://www.facebook.com/RepAprilDelaney
"McClain, Lisa",https://mcclain.house.gov,https://twitter.com/RepLisaMcClain,https://www.facebook.com/RepLisaMcClain
"McClellan, Jennifer",https://mcclellan.house.gov/,https://twitter.com/RepMcClellan,https://www.facebook.com/RepMcClellan/
"McCollum, Betty",https://mccollum.house.gov,http://twitter.com/BettyMcCollum04,http://www.facebook.com/repbettymccollum/
"McGarvey, Morgan",https://mcgarvey.house.gov,https://twitter.com/RepMcGarvey,https://www.facebook.com/RepMcGarvey
"McClintock, Tom",https://mcclintock.house.gov/,http://twitter.com/RepMcClintock,http://www.facebook.com/pages/Congressman-Tom-McClintock/81125319109
"McDonald Rivet, Kristen",https://mcdonaldrivet.house.gov/,https://twitter.com/repkmr,https://www.facebook.com/repmcdonaldrivet/
"McCormick, Richard",https://mccormick.house.gov,,https://www.facebook.com/profile.php?id=100089135203690
"McGovern, James",https://mcgovern.house.gov/,https://twitter.com/repmcgovern,https://www.facebook.com/RepJimMcGovern/
"McDowell, Addison",https://mcdowell.house.gov/,https://x.com/caohouse,https://www.facebook.com/RepMcDowell
"McIver, LaMonica",https://mciver.house.gov/,https://twitter.com/RepLaMonica,https://www.facebook.com/RepLaMonica
"McGuire, John",https://mcguire.house.gov/,https://twitter.com/RepJohnMcGuire,https://www.facebook.com/RepJohnMcGuire/
"Menefee, Christian",http://menefee.house.gov/,https://x.com/HouseDemocrats,https://www.facebook.com/HouseDemocrats/
"Meeks, Gregory",https://meeks.house.gov,https://twitter.com/repgregorymeeks,https://www.facebook.com/RepGregoryMeeks/
"Miller, Carol",https://miller.house.gov/,https://twitter.com/RepCarolMiller,https://www.facebook.com/RepCarolMiller
"Messmer, Mark",https://messmer.house.gov/,https://x.com/repmessmer,https://www.facebook.com/CongressmanMessmer
"Meng, Grace",https://meng.house.gov,https://twitter.com/RepGraceMeng,
"Menendez, Robert",https://menendez.house.gov,https://x.com/RepMenendez,https://www.facebook.com/repmenendez
"Meuser, Daniel",https://meuser.house.gov,https://x.com/RepMeuser,https://www.facebook.com/RepMeuser
"Mfume, Kweisi",https://mfume.house.gov/,https://twitter.com/RepKweisiMfume,https://www.facebook.com/RepKweisiMfume/
