name,website,district,state,region_category,party,committee
"Norman, Ralph",https://norman.house.gov,South Carolina 5th,South Carolina,state,R,Financial Services|Budget|Rules
"Norton, Eleanor",https://norton.house.gov/,District of Columbia Delegate,District of Columbia,federal_district,D,Oversight and Government Reform|Transportation and Infrastructure
"Nunn, Zachary",https://nunn.house.gov,Iowa 3rd,Iowa,state,R,Agriculture|Financial Services|Select Comm on the Strategic Competition US and China
"Obernolte, Jay",https://obernolte.house.gov,California 23rd,California,state,R,"Budget|Energy and Commerce|Science, Space, and Technology"
"Ocasio-Cortez, Alexandria",https://ocasio-cortez.house.gov/,New York 14th,New York,state,D,Energy and Commerce
"Ogles, Andrew",https://ogles.house.gov,Tennessee 5th,Tennessee,state,R,Financial Services|Homeland Security
"Olszewski, Johnny",https://olszewski.house.gov/,Maryland 2nd,Maryland,state,D,Foreign Affairs|Small Business
"Omar, Ilhan",https://omar.house.gov/,Minnesota 5th,Minnesota,state,D,Budget|Education and Workforce
"Onder, Robert",https://onder.house.gov/,Missouri 3rd,Missouri,state,R,Education and Workforce|Judiciary|Transportation and Infrastructure
"Owens, Burgess",https://owens.house.gov,Utah 4th,Utah,state,R,Education and Workforce|Transportation and Infrastructure
"Pallone, Frank",https://pallone.house.gov,New Jersey 6th,New Jersey,state,D,Energy and Commerce
"Palmer, Gary",https://palmer.house.gov/,Alabama 6th,Alabama,state,R,Oversight and Government Reform|Energy and Commerce
"Panetta, Jimmy",https://panetta.house.gov,California 19th,California,state,D,Budget|Ways and Means
"Pappas, Chris",https://pappas.house.gov,New Hampshire 1st,New Hampshire,state,D,Transportation and Infrastructure|Veterans' Affairs
"Patronis, Jimmy",https://patronis.house.gov/,Florida 1st,Florida,state,R,Transportation and Infrastructure|Small Business
"Pelosi, Nancy",https://pelosi.house.gov/,California 11th,California,state,D,
"Perez, Marie",https://gluesenkampperez.house.gov,Washington 3rd,Washington,state,D,Appropriations
"Perry, Scott",https://perry.house.gov/,Pennsylvania 10th,Pennsylvania,state,R,Foreign Affairs|Oversight and Government Reform|Intelligence|Transportation and Infrastructure
"Peters, Scott",https://scottpeters.house.gov,California 50th,California,state,D,Budget|Energy and Commerce
"Pettersen, Brittany",https://pettersen.house.gov,Colorado 7th,Colorado,state,D,Financial Services
"Pfluger, August",https://pfluger.house.gov,Texas 11th,Texas,state,R,Homeland Security|Energy and Commerce
"Pingree, Chellie",https://pingree.house.gov/,Maine 1st,Maine,state,D,Agriculture|Appropriations
"Plaskett, Stacey",https://plaskett.house.gov/,Virgin Islands Delegate,Virgin Islands,us_territories,D,Budget|Intelligence|Ways and Means
"Pocan, Mark",https://pocan.house.gov,Wisconsin 2nd,Wisconsin,state,D,Appropriations
"Pou, Nellie",https://pou.house.gov/,New Jersey 9th,New Jersey,state,D,Homeland Security|Transportation and Infrastructure
"Pressley, Ayanna",https://pressley.house.gov,Massachusetts 7th,Massachusetts,state,D,Financial Services|Oversight and Government Reform
"Quigley, Mike",https://quigley.house.gov/,Illinois 5th,Illinois,state,D,Appropriations|Intelligence
"Radewagen, Aumua Amata",https://radewagen.house.gov,American Samoa Delegate,American Samoa,us_territories,R,Foreign Affairs|Natural Resources|Veterans' Affairs
"Ramirez, Delia",https://ramirez.house.gov,Illinois 3rd,Illinois,state,D,Homeland Security|Veterans' Affairs
"Randall, Emily",https://randall.house.gov/,Washington 6th,Washington,state,D,Oversight and Government Reform|Natural Resources
"Raskin, Jamie",https://raskin.house.gov,Maryland 8th,Maryland,state,D,Judiciary
"Reschenthaler, Guy",https://reschenthaler.house.gov/,Pennsylvania 14th,Pennsylvania,state,R,Appropriations
"Riley, Josh",https://riley.house.gov/,New York 19th,New York,state,D,"Agriculture|Science, Space, and Technology"
"Rivas, Luz",https://rivas.house.gov/,California 29th,California,state,D,"Natural Resources|Science, Space, and Technology"
"Rogers, Harold",https://halrogers.house.gov/,Kentucky 5th,Kentucky,state,R,Appropriations
"Rogers, Mike",https://mikerogers.house.gov/,Alabama 3rd,Alabama,state,R,Armed Services
"Rose, John",https://johnrose.house.gov/,Tennessee 6th,Tennessee,state,R,Agriculture|Financial Services
"Ross, Deborah",https://ross.house.gov,North Carolina 2nd,North Carolina,state,D,"Judiciary|Ethics|Science, Space, and Technology"
"Rouzer, David",https://rouzer.house.gov/,North Carolina 7th,North Carolina,state,R,"Agriculture|Transportation and Infrastructure|Science, Space, and Technology"
"Roy, Chip",https://roy.house.gov,Texas 21st,Texas,state,R,Budget|Judiciary|Rules
"Ruiz, Raul",https://ruiz.house.gov,California 25th,California,state,D,Energy and Commerce
"Rulli, Michael A.",https://rulli.house.gov,Ohio 6th,Ohio,state,R,Education and Workforce|Energy and Commerce
